,importance
target_aromaticity,0.11467057871811698
target_isoelectric_point,0.11325465083953974
target_gravy,0.11235201938849144
drug_num_rings,0.09911401826734656
target_instability_index,0.09574351516141925
target_sequence_length,0.0859029335201687
target_molecular_weight,0.07867009362288588
drug_molecular_weight,0.060796062795551185
drug_logp,0.044420517292331256
drug_tpsa,0.04043835674071398
drug_hbd,0.038331466020365225
drug_num_atoms,0.03576414417765621
drug_num_bonds,0.034420335993856715
drug_hba,0.029849111533943498
drug_num_aromatic_rings,0.01627219592761342
